# Src-x Src-y Src-Int Rec-x Rec-y Rec-Int
0.0000 0.6000 3.5410 0.1220 1.0000 2.3308
0.0000 0.6000 2.1112 0.1463 1.0000 1.3756
0.0000 0.6000 4.2665 0.1707 1.0000 2.5959
0.0000 0.6000 7.6577 0.1951 1.0000 4.4347
0.0000 0.6000 8.6373 0.2195 1.0000 4.8010
0.0000 0.6000 3.7570 0.2439 1.0000 2.0111
0.0000 0.6000 2.4892 0.2683 1.0000 1.2839
0.0000 0.6000 4.1464 0.2927 1.0000 2.0652
0.0000 0.6000 7.6065 0.3171 1.0000 3.6620
0.0000 0.6000 8.6385 0.3415 1.0000 4.0203
0.0000 0.6000 1.0992 0.3659 1.0000 0.4955
0.0000 0.6000 3.6844 0.3902 1.0000 1.6094
0.0000 0.6000 9.8512 0.4146 1.0000 4.1737
0.0000 0.6000 3.5268 0.4390 1.0000 1.4468
0.0000 0.6000 1.8666 0.4634 1.0000 0.7444
0.0000 0.6000 4.6522 0.4878 1.0000 1.8031
0.0000 0.6000 1.2712 0.5122 1.0000 0.4786
0.0000 0.6000 7.8261 0.5366 1.0000 2.8604
0.0000 0.6000 8.1437 0.5610 1.0000 2.8884
0.0000 0.6000 2.7886 0.5854 1.0000 0.9618
0.0000 0.6000 1.3481 0.6098 1.0000 0.4525
0.0000 0.6000 3.6552 0.6341 1.0000 1.1853
0.0000 0.6000 6.5353 0.6585 1.0000 2.0093
0.0000 0.6000 9.8314 0.6829 1.0000 2.9109
0.0000 0.6000 7.4978 0.7073 1.0000 2.1388
0.0000 0.6000 8.8772 0.7317 1.0000 2.4384
0.0000 0.6000 5.1360 0.7561 1.0000 1.3658
0.0000 0.6000 6.5368 0.7805 1.0000 1.6892
0.0000 0.6000 2.4407 0.8049 1.0000 0.6145
0.0000 0.6000 3.9792 0.8293 1.0000 0.9742
0.0000 0.6000 7.4351 0.8537 1.0000 1.7721
0.0000 0.6000 6.8624 0.8780 1.0000 1.5916
0.0000 0.6000 9.7436 0.9024 1.0000 2.1752
0.0000 0.6000 8.0332 0.9268 1.0000 1.7378
0.0000 0.6000 6.4081 0.9512 1.0000 1.3504
0.0000 0.6000 2.2135 0.9756 1.0000 0.4538
0.0000 0.6000 6.1536 0.0000 1.0000 4.1249
0.0000 0.6000 8.4287 1.0000 0.0000 1.6990
0.0000 0.6000 2.5646 1.0000 1.0000 0.5140
0.0000 0.6500 5.0412 1.0000 0.0244 1.0015
0.0000 0.6500 5.3623 1.0000 0.0488 1.0314
0.0000 0.6500 1.8741 1.0000 0.0732 0.3700
0.0000 0.6500 5.6227 1.0000 0.0976 1.1544
0.0000 0.6500 5.2283 1.0000 0.1220 1.0334
0.0000 0.6500 6.7196 1.0000 0.1463 1.3182
0.0000 0.6500 6.1663 1.0000 0.1707 1.2381
0.0000 0.6500 7.1710 1.0000 0.1951 1.4426
0.0000 0.6500 2.4054 1.0000 0.2195 0.5016
0.0000 0.6500 5.1222 1.0000 0.2439 1.1298
0.0000 0.6500 3.2839 1.0000 0.2683 0.7262
0.0000 0.6500 3.0868 1.0000 0.2927 0.6648
0.0000 0.6500 7.4913 1.0000 0.3171 1.6788
0.0000 0.6500 1.7197 1.0000 0.3415 0.3984
0.0000 0.6500 1.5553 1.0000 0.3659 0.3594
0.0000 0.6500 3.5108 1.0000 0.3902 0.8078
0.0000 0.6500 4.8218 1.0000 0.4146 1.1358
0.0000 0.6500 3.3801 1.0000 0.4390 0.7946
0.0000 0.6500 1.2403 1.0000 0.4634 0.2804
0.0000 0.6500 5.2583 1.0000 0.4878 1.1690
0.0000 0.6500 2.4852 1.0000 0.5122 0.5429
0.0000 0.6500 1.0302 1.0000 0.5366 0.2230
0.0000 0.6500 8.6382 1.0000 0.5610 1.8147
0.0000 0.6500 1.7885 1.0000 0.5854 0.3714
0.0000 0.6500 7.2303 1.0000 0.6098 1.4809
0.0000 0.6500 2.4147 1.0000 0.6341 0.4932
0.0000 0.6500 1.1027 1.0000 0.6585 0.2249
0.0000 0.6500 8.4484 1.0000 0.6829 1.7213
0.0000 0.6500 7.6392 1.0000 0.7073 1.5539
0.0000 0.6500 6.8531 1.0000 0.7317 1.3933
0.0000 0.6500 6.9550 1.0000 0.7561 1.4101
0.0000 0.6500 2.5268 1.0000 0.7805 0.5119
0.0000 0.6500 2.5876 1.0000 0.8049 0.5332
0.0000 0.6500 8.6795 1.0000 0.8293 1.7997
0.0000 0.6500 9.8565 1.0000 0.8537 2.0391
0.0000 0.6500 7.5305 1.0000 0.8780 1.5533
0.0000 0.6500 5.5678 1.0000 0.9024 1.1456
0.0000 0.6500 6.1475 1.0000 0.9268 1.2668
0.0000 0.6500 5.1765 1.0000 0.9512 1.0850
0.0000 0.6500 3.8761 1.0000 0.9756 0.8127
0.0000 0.6500 7.5705 0.0244 1.0000 5.3303
0.0000 0.6500 5.7694 0.0488 1.0000 4.0519
0.0000 0.6500 2.5729 0.0732 1.0000 1.7994
0.0000 0.6500 2.2496 0.0976 1.0000 1.5643
0.0000 0.6500 2.9996 0.1220 1.0000 2.0706
